sampleTime, isHotThroughputUtilization,queueSize
+1.935e+07ns, 0,301
+1.9375e+07ns, 0,301
+1.94e+07ns, 0,301
+1.9425e+07ns, 0,301
+1.945e+07ns, 0,301
+1.9475e+07ns, 0,301
+1.95e+07ns, 0,301
+1.9525e+07ns, 0,301
+1.955e+07ns, 0,301
+1.9575e+07ns, 0,301
+1.96e+07ns, 0,301
+1.9625e+07ns, 0,301
+1.965e+07ns, 0,302
+1.9675e+07ns, 0,303
+1.97e+07ns, 0,306
+1.9725e+07ns, 0,306
+1.975e+07ns, 0,306
+1.9775e+07ns, 0,309
+1.98e+07ns, 0,310
+1.9825e+07ns, 0,315
+1.985e+07ns, 0,319
+1.9875e+07ns, 0,321
+1.99e+07ns, 0,325
+1.9925e+07ns, 0,328
+1.995e+07ns, 0,331
+1.9975e+07ns, 0,332
+2e+07ns, 0,333
+2.0025e+07ns, 0,333
+2.005e+07ns, 0,333
+2.0075e+07ns, 0,333
+2.01e+07ns, 0,333
+2.0125e+07ns, 0,333
+2.015e+07ns, 0,333
+2.0175e+07ns, 0,334
+2.02e+07ns, 0,334
+2.0225e+07ns, 0,335
+2.025e+07ns, 0,336
+2.0275e+07ns, 0,336
+2.03e+07ns, 0,340
+2.0325e+07ns, 0,342
+2.035e+07ns, 0,344
+2.0375e+07ns, 0,345
+2.04e+07ns, 0,346
+2.0425e+07ns, 0,347
+2.045e+07ns, 0,347
+2.0475e+07ns, 0,347
+2.05e+07ns, 0,347
+2.0525e+07ns, 0,347
+2.055e+07ns, 0,347
+2.0575e+07ns, 0,348
+2.06e+07ns, 0,348
+2.0625e+07ns, 0,348
+2.065e+07ns, 0,348
+2.0675e+07ns, 0,348
+2.07e+07ns, 0,348
+2.0725e+07ns, 0,348
+2.075e+07ns, 0,351
+2.0775e+07ns, 0,353
+2.08e+07ns, 0,354
+2.0825e+07ns, 0,356
+2.085e+07ns, 0,356
+2.0875e+07ns, 0,356
+2.09e+07ns, 0,356
+2.0925e+07ns, 0,356
+2.095e+07ns, 0,356
+2.0975e+07ns, 0,356
+2.1e+07ns, 0,356
+2.1025e+07ns, 0,356
+2.105e+07ns, 0,356
+2.1075e+07ns, 0,356
+2.11e+07ns, 0,356
+2.1125e+07ns, 0,356
+2.115e+07ns, 0,359
+2.1175e+07ns, 0,360
+2.12e+07ns, 0,360
+2.1225e+07ns, 0,360
+2.125e+07ns, 0,360
+2.1275e+07ns, 0,360
+2.13e+07ns, 0,360
+2.1325e+07ns, 0,360
+2.135e+07ns, 0,360
+2.1375e+07ns, 0,360
+2.14e+07ns, 0,360
+2.1425e+07ns, 0,360
+2.145e+07ns, 0,360
+2.1475e+07ns, 0,360
+2.15e+07ns, 0,360
+2.1525e+07ns, 0,360
+2.155e+07ns, 0,360
+2.1575e+07ns, 0,360
+2.16e+07ns, 0,360
+2.1625e+07ns, 0,360
+2.165e+07ns, 0,360
+2.1675e+07ns, 0,360
+2.17e+07ns, 0,360
+2.1725e+07ns, 0,360
+2.175e+07ns, 0,360
+2.1775e+07ns, 0,360
+2.18e+07ns, 0,360
+2.1825e+07ns, 0,360
+2.185e+07ns, 0,360
+2.1875e+07ns, 0,360
+2.19e+07ns, 0,360
+2.1925e+07ns, 0,360
+2.195e+07ns, 0,360
+2.1975e+07ns, 0,360
+2.2e+07ns, 0,360
+2.2025e+07ns, 0,360
+2.205e+07ns, 0,362
+2.2075e+07ns, 0,363
+2.21e+07ns, 0,365
+2.2125e+07ns, 0,365
+2.215e+07ns, 0,365
+2.2175e+07ns, 0,365
+2.22e+07ns, 0,365
+2.2225e+07ns, 0,365
+2.225e+07ns, 0,365
+2.2275e+07ns, 0,365
+2.23e+07ns, 0,365
+2.2325e+07ns, 0,365
+2.235e+07ns, 0,365
+2.2375e+07ns, 0,365
+2.24e+07ns, 0,365
+2.2425e+07ns, 0,365
+2.245e+07ns, 0,365
+2.2475e+07ns, 0,365
+2.25e+07ns, 0,365
+2.2525e+07ns, 0,365
+2.255e+07ns, 0,365
+2.2575e+07ns, 0,365
+2.26e+07ns, 0,365
+2.2625e+07ns, 0,366
+2.265e+07ns, 0,367
+2.2675e+07ns, 0,368
+2.27e+07ns, 0,368
+2.2725e+07ns, 0,368
+2.275e+07ns, 0,369
+2.2775e+07ns, 0,370
+2.28e+07ns, 0,370
+2.2825e+07ns, 0,370
+2.285e+07ns, 0,370
+2.2875e+07ns, 0,370
+2.29e+07ns, 0,370
+2.2925e+07ns, 0,370
+2.295e+07ns, 0,370
+2.2975e+07ns, 0,370
+2.3e+07ns, 0,370
